source_url,target_url,status_code,preserve_path,preserve_query_string,include_subdomains,subpath_matching,comment
# CLOUDFLARE BULK REDIRECTS - 69 DOMAINS TO 4 CANONICAL TARGETS
# Generated: 2025-10-23
# Total Rules: 70 (69 domains + 1 www redirect)
# Target Domains: reggieanddro.com, highnoontooned.com, oneplantsolution.com, herbitrage.com

# ==========================================
# SILO 1: REGGIEANDDRO.COM (18 DOMAINS)
# R&D Retail, Manufacturing, THCa, Edibles
# ==========================================

# R&D Retail Core (10 domains)
https://reggieanddroalice.com,https://reggieanddro.com,301,true,true,false,true,R&D Alice location redirect
https://reggieanddrocannabisstore.com,https://reggieanddro.com,301,true,true,false,true,R&D cannabis store redirect
https://reggieanddrodispensary.com,https://reggieanddro.com,301,true,true,false,true,R&D dispensary redirect
https://reggieanddrosanantonio.com,https://reggieanddro.com,301,true,true,false,true,R&D San Antonio redirect
https://reggieanddrosanantoniotx.com,https://reggieanddro.com,301,true,true,false,true,R&D San Antonio TX redirect
https://reggieanddrosocialclub.com,https://reggieanddro.com,301,true,true,false,true,R&D social club redirect
https://reggieanddrostoneoak.com,https://reggieanddro.com,301,true,true,false,true,R&D Stone Oak redirect
https://reggieanddrotexas.com,https://reggieanddro.com,301,true,true,false,true,R&D Texas redirect
https://freelegalweedsanantonio.com,https://reggieanddro.com,301,true,true,false,true,Free legal weed SA redirect
https://freeweedsanantonio.com,https://reggieanddro.com,301,true,true,false,true,Free weed SA redirect

# THCa Retail (5 domains)
https://freethcaflower.com,https://reggieanddro.com,301,true,true,false,true,Free THCa flower redirect
https://freeweedtexas.com,https://reggieanddro.com,301,true,true,false,true,Free weed Texas redirect
https://thcacannabisdispensary.com,https://reggieanddro.com,301,true,true,false,true,THCa dispensary redirect
https://thcaflowerstx.com,https://reggieanddro.com,301,true,true,false,true,THCa flowers TX redirect
https://thcaflowertx.com,https://reggieanddro.com,301,true,true,false,true,THCa flower TX redirect
https://thcasanantonio.com,https://reggieanddro.com,301,true,true,false,true,THCa San Antonio redirect

# Edibles (2 domains)
https://cannabiscookiestexas.com,https://reggieanddro.com,301,true,true,false,true,Cannabis cookies TX redirect
https://texascannabiscookies.com,https://reggieanddro.com,301,true,true,false,true,Texas cannabis cookies redirect

# ==========================================
# SILO 2: HIGHNOONTOONED.COM (12 DOMAINS)
# Content, Media, Entertainment
# ==========================================

# Content & Media (12 domains)
https://highnooncartoon.com,https://highnoontooned.com,301,true,true,false,true,High Noon Cartoon redirect
https://getlooseyoga.com,https://highnoontooned.com,301,true,true,false,true,Get Loose Yoga redirect
https://smokingyoga.com,https://highnoontooned.com,301,true,true,false,true,Smokin Yoga redirect
https://tokinyoga.com,https://highnoontooned.com,301,true,true,false,true,Tokin Yoga redirect
https://aaacbdhempflower.com,https://highnoontooned.com,301,true,true,false,true,AAA CBD hemp flower redirect
https://exoticcbdhempflower.com,https://highnoontooned.com,301,true,true,false,true,Exotic CBD hemp flower redirect
https://loudcbdflower.com,https://highnoontooned.com,301,true,true,false,true,Loud CBD flower redirect
https://loudcbdbuds.com,https://highnoontooned.com,301,true,true,false,true,Loud CBD buds redirect
https://firecbdbuds.com,https://highnoontooned.com,301,true,true,false,true,Fire CBD buds redirect
https://sinsamillahemp.com,https://highnoontooned.com,301,true,true,false,true,Sinsemilla hemp redirect
https://highfromhemp.com,https://highnoontooned.com,301,true,true,false,true,High from hemp redirect
https://exoticcanopysolutions.com,https://highnoontooned.com,301,true,true,false,true,Exotic canopy solutions redirect

# ==========================================
